Trial,CorrectResponse,Response,Correct,Offset,StepSize,Reversals,Direction
1,1,1,True,64.00,4,0,down
2,3,3,True,64.00,4,0,down
3,3,3,True,16.00,4,0,down
4,3,3,True,16.00,4,0,down
5,1,3,False,4.00,2,1,down
6,1,1,True,8.00,2,1,up
7,1,1,True,8.00,2,1,down
8,1,1,True,4.00,2,1,down
9,3,3,True,4.00,2,1,down
10,1,3,False,2.00,1,2,down
11,3,3,True,2.83,1,2,up
12,3,3,True,2.83,1,2,down
13,1,3,False,2.00,1,3,down
14,1,3,False,2.83,1,3,up
15,1,3,False,4.00,2,3,up
16,3,3,True,8.00,2,3,up
17,1,3,False,8.00,1,4,down
18,3,1,False,11.31,1,4,up
19,3,3,True,16.00,1,4,up
20,1,1,True,16.00,1,4,down
21,1,1,True,11.31,1,4,down
22,1,1,True,11.31,2,4,down
23,1,1,True,5.66,2,4,down
24,3,3,True,5.66,4,4,down
25,3,1,False,1.41,2,5,down
26,3,3,True,2.83,2,5,up
