Trial,CorrectResponse,Response,Correct,Offset,StepSize
1,3,3,True,32.00,2
2,3,3,True,22.63,1
3,3,3,True,16.00,1
4,1,1,True,11.31,1
5,3,3,True,8.00,1
6,3,3,True,5.66,1
7,3,1,False,11.31,2
8,1,3,False,45.25,4
9,1,1,True,22.63,2
10,1,3,False,64.00,4
11,1,1,True,32.00,2
12,1,3,False,64.00,4
13,1,1,True,32.00,2
14,1,1,True,22.63,1
15,1,3,False,45.25,2
16,1,3,False,64.00,4
17,1,3,False,64.00,4
18,1,3,False,64.00,4
19,1,3,False,64.00,4
20,1,3,False,64.00,4
21,1,3,False,64.00,4
22,1,3,False,64.00,4
23,1,3,False,64.00,4
24,1,3,False,64.00,4
25,1,3,False,64.00,4
26,1,3,False,64.00,4
27,1,3,False,64.00,4
28,1,3,False,64.00,4
29,1,3,False,64.00,4
30,1,3,False,64.00,4
31,1,3,False,64.00,4
32,1,3,False,64.00,4
33,1,3,False,64.00,4
34,1,3,False,64.00,4
35,1,3,False,64.00,4
36,1,3,False,64.00,4
37,1,3,False,64.00,4
38,1,3,False,64.00,4
39,1,3,False,64.00,4
40,1,3,False,64.00,4
41,1,3,False,64.00,4
42,1,3,False,64.00,4
43,1,3,False,64.00,4
44,1,3,False,64.00,4
45,1,3,False,64.00,4
46,1,3,False,64.00,4
47,1,3,False,64.00,4
48,1,3,False,64.00,4
49,3,3,True,32.00,2
