Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,1,1,True,64.00,4,0,,0
2,3,1,False,64.00,2,1,up,0
3,3,3,True,64.00,2,1,up,0
4,3,3,True,64.00,1,2,down,0
5,3,1,False,45.25,1,3,up,0
6,3,3,True,64.00,1,3,up,0
7,3,3,True,64.00,1,4,down,0
8,1,1,True,45.25,1,4,down,0
9,3,3,True,45.25,1,4,down,1
10,1,1,True,32.00,1,4,down,1
11,3,3,True,32.00,2,4,down,2
12,3,3,True,16.00,2,4,down,2
13,3,3,True,16.00,4,4,down,3
14,1,1,True,4.00,4,4,down,3
15,1,3,False,4.00,2,5,up,0
16,1,3,False,8.00,2,5,up,1
17,3,3,True,16.00,2,5,up,1
18,3,3,True,16.00,1,6,down,0
19,3,3,True,11.31,1,6,down,0
20,3,3,True,11.31,1,6,down,1
21,3,3,True,8.00,1,6,down,1
22,3,3,True,8.00,2,6,down,2
23,3,3,True,4.00,2,6,down,2
24,3,3,True,4.00,4,6,down,3
25,3,1,False,1.00,2,7,up,0
26,3,3,True,2.00,2,7,up,0
27,3,3,True,2.00,1,8,down,0
28,3,3,True,1.41,1,8,down,0
29,3,3,True,1.41,1,8,down,1
30,3,3,True,1.00,1,8,down,1
31,3,3,True,1.00,2,8,down,2
32,3,3,True,1.00,2,8,down,2
33,3,3,True,1.00,4,8,down,3
34,3,3,True,1.00,4,8,down,3
35,3,3,True,1.00,4,8,down,4
36,3,3,True,1.00,4,8,down,4
37,3,3,True,1.00,4,8,down,5
38,3,3,True,1.00,4,8,down,5
39,1,3,False,1.00,2,9,up,0
40,1,3,False,2.00,2,9,up,1
41,1,3,False,4.00,2,9,up,2
42,1,3,False,8.00,4,9,up,3
43,1,3,False,32.00,4,9,up,4
44,1,3,False,64.00,4,9,up,5
45,1,3,False,64.00,4,9,up,6
46,3,3,True,64.00,4,9,up,6
47,3,3,True,64.00,2,10,down,0
48,3,3,True,32.00,2,10,down,0
49,1,1,True,32.00,2,10,down,1
50,1,1,True,16.00,2,10,down,1
