Trial,CorrectResponse,Response,Correct,ResponseTime,Offset,Direction,Reversals,StepSize
1,3,3,True,0.8901240825653076,64.00,,0,4
2,1,1,True,0.4906351566314697,64.00,down,0,4
3,3,3,True,0.39356184005737305,16.00,,0,4
4,3,3,True,0.3261301517486572,16.00,down,0,4
5,1,3,False,0.5224049091339111,4.00,up,1,2
6,3,3,True,0.2642490863800049,8.00,,1,2
7,3,3,True,0.3121058940887451,8.00,down,2,1
8,3,3,True,0.3161797523498535,5.66,,2,1
9,1,3,False,0.3846096992492676,5.66,up,3,1
10,3,3,True,0.3743259906768799,8.00,,3,1
11,3,3,True,1.2217299938201904,8.00,down,4,1
12,1,1,True,0.48911595344543457,5.66,,4,1
13,3,3,True,0.3827037811279297,5.66,down,4,1
14,3,3,True,0.35419392585754395,4.00,,4,1
15,1,3,False,0.2671947479248047,4.00,up,5,1
16,1,3,False,0.4867849349975586,5.66,up,5,1
17,1,1,True,0.6309912204742432,8.00,,5,1
18,3,3,True,0.3069748878479004,8.00,down,6,1
19,3,3,True,0.28649067878723145,5.66,,6,1
20,3,1,False,0.4195139408111572,5.66,up,7,1
21,1,3,False,0.35053515434265137,8.00,up,7,1
22,1,3,False,0.28472018241882324,11.31,up,7,2
23,1,1,True,0.3186180591583252,22.63,,7,2
24,1,1,True,0.3306400775909424,22.63,down,8,1
25,3,3,True,0.28164100646972656,16.00,,8,1
26,3,3,True,0.2068321704864502,16.00,down,8,1
27,3,3,True,0.3387138843536377,11.31,,8,1
28,1,1,True,0.49928808212280273,11.31,down,8,1
29,1,1,True,0.6311218738555908,8.00,,8,1
30,3,3,True,0.3092842102050781,8.00,down,8,2
31,3,1,False,0.7406296730041504,4.00,up,9,1
32,3,3,True,0.3944981098175049,5.66,,9,1
33,1,3,False,0.5725729465484619,5.66,up,9,1
34,1,1,True,0.5234339237213135,8.00,,9,1
35,3,3,True,0.2760300636291504,8.00,down,10,1
36,1,3,False,0.2883570194244385,5.66,up,11,1
37,1,3,False,0.4549407958984375,8.00,up,11,1
38,1,3,False,0.2575109004974365,11.31,up,11,2
39,3,3,True,0.34961414337158203,22.63,,11,2
40,3,3,True,0.28959107398986816,22.63,down,12,1
41,1,3,False,0.3448359966278076,16.00,up,13,1
42,3,3,True,0.41252899169921875,22.63,,13,1
43,3,3,True,0.3052539825439453,22.63,down,14,1
44,1,1,True,0.4960339069366455,16.00,,14,1
45,3,3,True,0.3454599380493164,16.00,down,14,1
46,3,3,True,0.5200390815734863,11.31,,14,1
47,1,3,False,0.5184750556945801,11.31,up,15,1
48,1,3,False,0.38862109184265137,16.00,up,15,1
49,3,3,True,0.34769320487976074,22.63,,15,1
50,3,3,True,0.32155632972717285,22.63,down,16,1
