Trial,CorrectResponse,Response,Correct,ResponseTime,Offset,Direction,Reversals,StepSize
1,3,3,True,5.6110169887542725,64.00,,0,4
2,3,3,True,1.8687019348144531,64.00,down,0,4
3,3,3,True,5.103943347930908,16.00,,0,4
4,1,1,True,1.8518002033233643,16.00,down,0,4
5,3,3,True,3.767698049545288,4.00,,0,4
6,1,1,True,0.8805229663848877,4.00,down,0,4
7,1,3,False,2.508833885192871,1.00,up,1,2
8,1,3,False,4.85089111328125,2.00,up,1,2
9,1,1,True,0.7497601509094238,4.00,,1,2
10,3,3,True,4.671863079071045,4.00,down,2,1
11,1,1,True,4.71639084815979,2.83,,2,1
12,3,3,True,6.9964001178741455,2.83,down,2,1
13,1,1,True,1.6411471366882324,2.00,,2,1
14,3,3,True,7.387609004974365,2.00,down,2,2
15,1,3,False,1.4605889320373535,1.00,up,3,1
16,3,3,True,9.580875873565674,1.41,,3,1
17,3,3,True,7.399216175079346,1.41,down,4,1
18,3,3,True,7.310799837112427,1.00,,4,1
19,3,3,True,5.60005784034729,1.00,down,4,1
20,3,1,False,1.652372121810913,1.00,up,5,1
21,1,3,False,0.7722768783569336,1.41,up,5,1
22,3,3,True,12.2454252243042,2.00,,5,1
23,3,3,True,5.345963001251221,2.00,down,6,1
24,3,3,True,6.559751749038696,1.41,,6,1
25,3,3,True,6.52468204498291,1.41,down,6,1
26,3,3,True,5.118106126785278,1.00,,6,1
27,3,3,True,1.4314560890197754,1.00,down,6,1
28,1,3,False,0.6574490070343018,1.00,up,7,1
29,1,1,True,2.253075122833252,1.41,,7,1
30,1,3,False,8.24415898323059,1.41,up,7,1
31,1,1,True,3.0164718627929688,2.00,,7,1
32,3,3,True,2.7541539669036865,2.00,down,8,1
33,1,3,False,1.5601119995117188,1.41,up,9,1
34,3,3,True,2.2813596725463867,2.00,,9,1
35,1,3,False,2.018428087234497,2.00,up,9,1
36,3,3,True,9.087323904037476,2.83,,9,1
37,1,3,False,6.7198450565338135,2.83,up,9,2
38,1,1,True,6.140695095062256,5.66,,9,2
39,1,1,True,1.0774822235107422,5.66,down,10,1
40,3,3,True,5.724449157714844,4.00,,10,1
41,3,3,True,1.818253755569458,4.00,down,10,1
42,3,3,True,1.043868064880371,2.83,,10,1
43,1,1,True,0.6722919940948486,2.83,down,10,1
44,3,3,True,5.850047826766968,2.00,,10,1
45,3,3,True,2.555617094039917,2.00,down,10,2
46,1,1,True,0.7479276657104492,1.00,,10,2
47,3,1,False,0.6688880920410156,1.00,up,11,1
48,1,1,True,0.4828517436981201,1.41,,11,1
49,1,3,False,0.40006089210510254,1.41,up,11,1
50,1,3,False,0.45058202743530273,2.00,up,11,1
