Trial,CorrectResponse,Response,Correct,ResponseTime,Offset,Direction,Reversals,StepSize
1,3,3,True,6.0363640785217285,64.00,,0,4
2,1,1,True,11.237334966659546,64.00,down,0,4
3,1,3,False,0.8975460529327393,16.00,up,1,2
4,1,1,True,1.9812109470367432,32.00,,1,2
5,1,1,True,1.143874168395996,32.00,down,2,1
6,1,1,True,2.11417818069458,22.63,,2,1
7,1,3,False,1.446422815322876,22.63,up,3,1
8,3,3,True,1.4051709175109863,32.00,,3,1
9,3,3,True,0.8621251583099365,32.00,down,4,1
10,1,1,True,3.769943952560425,22.63,,4,1
11,3,1,False,1.5343549251556396,22.63,up,5,1
12,1,1,True,1.5109660625457764,32.00,,5,1
13,1,1,True,1.8068568706512451,32.00,down,6,1
14,1,1,True,2.0811169147491455,22.63,,6,1
15,3,1,False,1.678394079208374,22.63,up,7,1
16,1,1,True,1.2911298274993896,32.00,,7,1
17,1,1,True,3.375351667404175,32.00,down,8,1
18,1,1,True,2.0395498275756836,22.63,,8,1
19,3,3,True,1.4870359897613525,22.63,down,8,1
20,1,3,False,0.8687338829040527,16.00,up,9,1
21,1,1,True,1.2763710021972656,22.63,,9,1
22,1,1,True,8.228752136230469,22.63,down,10,1
23,1,1,True,0.7119429111480713,16.00,,10,1
24,3,3,True,0.6212408542633057,16.00,down,10,1
25,3,3,True,1.2438149452209473,11.31,,10,1
26,1,3,False,1.514348030090332,11.31,up,11,1
27,1,1,True,0.6512966156005859,16.00,,11,1
28,1,3,False,1.6170470714569092,16.00,up,11,1
29,1,1,True,2.5278828144073486,22.63,,11,1
30,1,3,False,0.9878196716308594,22.63,up,11,2
31,3,3,True,1.2422630786895752,45.25,,11,2
32,3,3,True,0.6741979122161865,45.25,down,12,1
33,3,3,True,1.1173160076141357,32.00,,12,1
34,1,1,True,1.1355161666870117,32.00,down,12,1
35,3,1,False,0.873075008392334,22.63,up,13,1
36,3,3,True,0.5488700866699219,32.00,,13,1
37,1,1,True,4.8614561557769775,32.00,down,14,1
38,3,3,True,0.942986011505127,22.63,,14,1
39,3,1,False,2.81683611869812,22.63,up,15,1
40,3,1,False,0.9372799396514893,32.00,up,15,1
41,3,3,True,0.7310762405395508,45.25,,15,1
42,3,3,True,0.7909109592437744,45.25,down,16,1
43,1,1,True,0.776137113571167,32.00,,16,1
44,3,1,False,1.0674560070037842,32.00,up,17,1
45,1,1,True,1.1421430110931396,45.25,,17,1
46,1,1,True,0.7655470371246338,45.25,down,18,1
47,3,1,False,1.0379607677459717,32.00,up,19,1
48,3,3,True,0.65655517578125,45.25,,19,1
49,1,1,True,0.8134379386901855,45.25,down,20,1
50,1,1,True,0.7491137981414795,32.00,,20,1
