Trial,CorrectResponse,Response,Correct,Offset,StepSize,Reversals,CurrentDirection,NextDirection
1,3,3,True,64.00,4,0,down,
2,1,1,True,64.00,4,0,down,down
3,1,1,True,16.00,4,0,down,down
4,3,3,True,16.00,4,0,down,down
5,1,1,True,4.00,4,0,down,down
6,1,3,False,4.00,2,1,up,up
7,3,3,True,8.00,2,1,up,up
8,1,3,False,8.00,2,1,up,up
9,1,3,False,16.00,2,1,up,up
10,1,1,True,32.00,2,1,up,up
11,1,1,True,32.00,1,2,down,down
12,1,1,True,22.63,1,2,down,down
13,1,1,True,22.63,1,2,down,down
14,1,1,True,16.00,1,2,down,down
15,1,1,True,16.00,4,2,down,down
16,1,3,False,4.00,2,3,up,up
17,1,3,False,8.00,2,3,up,up
18,1,3,False,16.00,2,3,up,up
19,1,3,False,32.00,4,3,up,up
20,1,1,True,64.00,4,3,up,up
21,1,3,False,64.00,4,3,up,up
22,1,3,False,64.00,4,3,up,up
23,1,3,False,64.00,4,3,up,up
24,1,3,False,64.00,4,3,up,up
25,1,1,True,64.00,4,3,up,up
26,1,1,True,64.00,2,4,down,down
27,1,1,True,32.00,2,4,down,down
28,1,1,True,32.00,2,4,down,down
29,1,1,True,16.00,2,4,down,down
30,1,1,True,16.00,2,4,down,down
31,1,1,True,8.00,2,4,down,down
32,1,1,True,8.00,4,4,down,down
33,1,1,True,2.00,4,4,down,down
34,1,1,True,2.00,4,4,down,down
35,1,1,True,1.00,4,4,down,down
36,1,1,True,1.00,4,4,down,down
37,1,1,True,1.00,4,4,down,down
38,1,1,True,1.00,4,4,down,down
39,1,1,True,1.00,4,4,down,down
40,1,1,True,1.00,4,4,down,down
41,1,1,True,1.00,4,4,down,down
42,1,1,True,1.00,4,4,down,down
43,1,1,True,1.00,4,4,down,down
44,1,1,True,1.00,4,4,down,down
45,1,1,True,1.00,4,4,down,down
46,1,1,True,1.00,4,4,down,down
47,1,1,True,1.00,4,4,down,down
48,1,1,True,1.00,4,4,down,down
49,1,1,True,1.00,4,4,down,down
50,1,1,True,1.00,4,4,down,down
