Trial,CorrectResponse,Response,Correct,Offset,StepSize
1,3,3,True,32.00,2
2,3,3,True,22.63,1
3,3,3,True,16.00,1
4,1,1,True,11.31,1
5,1,1,True,8.00,1
6,1,1,True,5.66,1
7,1,1,True,4.00,1
8,1,1,True,2.83,1
9,1,1,True,2.00,1
10,1,1,True,1.41,1
11,1,1,True,1.00,1
12,1,1,True,1.00,1
13,1,1,True,1.00,1
14,1,1,True,1.00,1
15,1,1,True,1.00,1
16,1,1,True,1.00,1
17,1,1,True,1.00,1
18,1,1,True,1.00,1
19,1,1,True,1.00,1
20,1,1,True,1.00,1
21,1,1,True,1.00,1
22,1,1,True,1.00,1
23,1,1,True,1.00,1
24,1,1,True,1.00,1
25,1,1,True,1.00,1
26,1,1,True,1.00,1
27,1,1,True,1.00,1
28,1,1,True,1.00,1
29,1,1,True,1.00,1
30,1,1,True,1.00,1
31,1,1,True,1.00,1
32,1,1,True,1.00,1
33,1,1,True,1.00,1
34,1,1,True,1.00,1
35,1,1,True,1.00,1
36,1,1,True,1.00,1
37,1,1,True,1.00,1
38,1,1,True,1.00,1
39,1,1,True,1.00,1
40,1,1,True,1.00,1
41,1,1,True,1.00,1
42,1,1,True,1.00,1
43,1,1,True,1.00,1
44,1,1,True,1.00,1
45,1,1,True,1.00,1
46,1,1,True,1.00,1
47,1,1,True,1.00,1
48,1,1,True,1.00,1
49,1,1,True,1.00,1
50,1,1,True,1.00,1
51,1,1,True,1.00,1
52,1,1,True,1.00,1
53,1,1,True,1.00,1
54,1,1,True,1.00,1
55,1,1,True,1.00,1
56,1,1,True,1.00,1
57,1,1,True,1.00,1
58,1,1,True,1.00,1
59,1,1,True,1.00,1
60,1,1,True,1.00,1
61,1,1,True,1.00,1
62,1,1,True,1.00,1
63,1,1,True,1.00,1
