Trial,CorrectResponse,Response,Correct,Offset,StepSize
1,3,1,False,64.00,4
2,3,3,True,32.00,2
3,3,1,False,64.00,4
4,1,3,False,64.00,4
5,1,3,False,64.00,4
6,1,3,False,64.00,4
7,1,3,False,64.00,4
8,1,3,False,64.00,4
9,1,3,False,64.00,4
10,1,3,False,64.00,4
11,1,3,False,64.00,4
12,1,3,False,64.00,4
13,1,3,False,64.00,4
14,1,3,False,64.00,4
15,1,3,False,64.00,4
16,1,3,False,64.00,4
17,1,3,False,64.00,4
18,1,3,False,64.00,4
19,1,3,False,64.00,4
20,1,3,False,64.00,4
21,1,3,False,64.00,4
22,3,1,False,64.00,4
23,3,3,True,32.00,2
24,1,3,False,64.00,4
25,1,3,False,64.00,4
26,1,1,True,32.00,2
27,1,3,False,64.00,4
28,3,1,False,64.00,4
29,3,1,False,64.00,4
30,3,3,True,32.00,2
31,1,3,False,64.00,4
32,1,3,False,64.00,4
33,1,3,False,64.00,4
34,1,3,False,64.00,4
35,1,1,True,32.00,2
36,3,3,True,22.63,1
37,1,3,False,45.25,2
38,1,3,False,64.00,4
39,1,1,True,32.00,2
40,3,3,True,22.63,1
41,3,1,False,45.25,2
42,1,3,False,64.00,4
43,1,1,True,32.00,2
44,3,3,True,22.63,1
45,3,1,False,45.25,2
46,1,1,True,32.00,1
