Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,3,3,True,64.00,4,0,,0
2,1,1,True,64.00,4,0,down,1
3,3,3,True,16.00,4,0,down,1
4,3,3,True,16.00,4,0,down,2
5,1,1,True,4.00,4,0,down,2
6,3,1,False,4.00,2,1,up,0
7,3,3,True,8.00,2,1,up,0
8,3,3,True,8.00,1,2,down,0
9,3,3,True,5.66,1,2,down,0
10,1,1,True,5.66,1,2,down,1
11,1,1,True,4.00,1,2,down,1
12,1,1,True,4.00,2,2,down,2
13,1,1,True,2.00,2,2,down,2
14,1,1,True,2.00,4,2,down,3
15,3,3,True,1.00,4,2,down,3
16,3,1,False,1.00,2,3,up,0
17,1,1,True,2.00,2,3,up,0
18,3,1,False,2.00,2,3,up,1
19,3,3,True,4.00,2,3,up,1
20,3,3,True,4.00,1,4,down,0
21,3,3,True,2.83,1,4,down,0
22,3,3,True,2.83,1,4,down,1
23,1,1,True,2.00,1,4,down,1
24,3,3,True,2.00,2,4,down,2
25,3,3,True,1.00,2,4,down,2
26,3,3,True,1.00,4,4,down,3
27,1,3,False,1.00,2,5,up,0
28,1,1,True,2.00,2,5,up,0
29,3,3,True,2.00,1,6,down,0
30,3,3,True,1.41,1,6,down,0
31,1,1,True,1.41,1,6,down,1
32,1,3,False,1.00,1,7,up,0
33,1,3,False,1.41,1,7,up,1
34,3,3,True,2.00,1,7,up,1
35,3,3,True,2.00,1,8,down,0
36,3,1,False,1.41,1,9,up,0
37,1,3,False,2.00,1,9,up,1
38,1,1,True,2.83,1,9,up,1
39,3,3,True,2.83,1,10,down,0
40,1,1,True,2.00,1,10,down,0
41,3,3,True,2.00,1,10,down,1
42,1,3,False,1.41,1,11,up,0
43,3,3,True,2.00,1,11,up,0
44,1,3,False,2.00,1,11,up,1
45,3,1,False,2.83,2,11,up,2
46,1,1,True,5.66,2,11,up,2
47,1,1,True,5.66,1,12,down,0
48,3,3,True,4.00,1,12,down,0
49,1,1,True,4.00,1,12,down,1
50,1,1,True,2.83,1,12,down,1
