Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,3,3,True,64.00,4,0,,0
2,3,3,True,64.00,4,0,down,1
3,1,1,True,16.00,4,0,down,1
4,3,3,True,16.00,4,0,down,2
5,1,1,True,4.00,4,0,down,2
6,3,3,True,4.00,4,0,down,3
7,3,1,False,1.00,2,1,up,0
8,3,3,True,2.00,2,1,up,0
9,1,3,False,2.00,2,1,up,1
10,1,1,True,4.00,2,1,up,1
11,1,3,False,4.00,2,1,up,2
12,3,3,True,8.00,2,1,up,2
13,1,1,True,8.00,1,2,down,0
14,3,1,False,5.66,1,3,up,0
15,3,3,True,8.00,1,3,up,0
