Trial,CorrectResponse,Response,Correct,Offset,NextStepSize,Reversals,NextDirection,SameDirectionCount
1,1,1,True,64.00,4,0,,0
2,3,3,True,64.00,4,0,down,1
3,1,1,True,16.00,4,0,down,1
4,3,3,True,16.00,4,0,down,2
5,1,1,True,4.00,4,0,down,2
6,1,1,True,4.00,4,0,down,3
7,3,3,True,1.00,4,0,down,3
8,1,1,True,1.00,4,0,down,4
9,3,3,True,1.00,4,0,down,4
10,1,3,False,1.00,2,1,up,0
11,1,3,False,2.00,2,1,up,1
12,3,1,False,4.00,2,1,up,2
13,1,1,True,8.00,2,1,up,2
14,3,3,True,8.00,1,2,down,0
15,3,3,True,5.66,1,2,down,0
